gen	nevals	avg        	stddev  	min	max     
0  	60    	-0.116667  	0.321023	-1 	0       
1  	55    	-0.0833333 	0.276385	-1 	0       
2  	55    	-0.0623179 	0.251728	-1 	0.170261
3  	56    	-0.0336279 	0.225191	-1 	0.170898
4  	56    	-0.276557  	0.476151	-1 	0.245488
5  	54    	-0.169473  	0.441938	-1 	0.254814
6  	55    	-0.118241  	0.447775	-1 	0.298395
7  	57    	0.013808   	0.349917	-1 	0.393805
8  	54    	-0.00790901	0.400992	-1 	0.3359  
9  	57    	-0.0249847 	0.446829	-1 	0.367857
10 	57    	-0.0228077 	0.449118	-1 	0.40073 
11 	51    	0.039401   	0.39293 	-1 	0.40073 
12 	51    	0.0935561  	0.387866	-1 	0.588334
13 	57    	-0.0657056 	0.551187	-1 	0.534198
14 	55    	0.00463627 	0.500911	-1 	0.603092
15 	58    	-0.0672527 	0.558365	-1 	0.590735
16 	52    	-0.0388224 	0.550093	-1 	0.528424
17 	54    	-0.101106  	0.627161	-1 	0.583778
18 	55    	0.00993704 	0.609093	-1 	0.579737
19 	54    	-0.100771  	0.634652	-1 	0.572345
20 	57    	0.0982189  	0.570427	-1 	0.566441
21 	55    	-0.00613094	0.613576	-1 	0.59701 
22 	55    	0.0290729  	0.562731	-1 	0.601192
23 	54    	-0.0462196 	0.618328	-1 	0.548121
24 	56    	-0.0310799 	0.625115	-1 	0.549877
25 	55    	-0.109683  	0.647077	-1 	0.525258
26 	56    	0.0933076  	0.57389 	-1 	0.5752  
27 	55    	-0.102903  	0.675158	-1 	0.5752  
28 	54    	0.0940294  	0.599414	-1 	0.5752  
29 	58    	-0.0302551 	0.629693	-1 	0.581104
30 	54    	0.0653115  	0.555401	-1 	0.574074
31 	53    	-0.019269  	0.656453	-1 	0.600494
32 	54    	0.194051   	0.510129	-1 	0.691294
33 	55    	0.035236   	0.629188	-1 	0.691294
34 	55    	-0.152361  	0.694617	-1 	0.711216
35 	54    	-0.0252857 	0.646553	-1 	0.696754
36 	53    	-0.0699875 	0.681173	-1 	0.696754
37 	58    	-0.0119842 	0.647968	-1 	0.71723 
38 	52    	0.0652241  	0.598507	-1 	0.724904
39 	54    	-0.0852853 	0.692551	-1 	0.696754
40 	55    	-0.0636997 	0.646321	-1 	0.696754
41 	53    	0.0270454  	0.602007	-1 	0.696754
42 	56    	-0.055107  	0.666413	-1 	0.696754
43 	54    	-0.126608  	0.690244	-1 	0.696754
44 	56    	0.0145007  	0.637826	-1 	0.696754
45 	56    	-0.138465  	0.68182 	-1 	0.709585
46 	51    	-0.00489462	0.655772	-1 	0.73401 
47 	54    	-0.0094175 	0.700772	-1 	0.709585
48 	53    	-0.0595156 	0.668692	-1 	0.734112
49 	56    	-0.0716905 	0.633616	-1 	0.734112
50 	55    	-0.178613  	0.649227	-1 	0.667866
51 	53    	-0.275601  	0.63323 	-1 	0.667866
52 	55    	-0.105961  	0.632217	-1 	0.644048
53 	51    	-0.00118316	0.627466	-1 	0.644048
54 	58    	0.0443426  	0.648838	-1 	0.644048
55 	57    	0.200993   	0.479523	-1 	0.62057 
56 	55    	-0.0335717 	0.682532	-1 	0.626489
57 	51    	0.127895   	0.573169	-1 	0.65169 
58 	57    	0.0733906  	0.645901	-1 	0.672353
59 	52    	0.139839   	0.644736	-1 	0.653553
60 	57    	0.114391   	0.596293	-1 	0.688384
61 	55    	-0.0729983 	0.68523 	-1 	0.721761
62 	55    	0.0224869  	0.671858	-1 	0.688384
63 	60    	-0.0284589 	0.665394	-1 	0.761099
64 	52    	0.0367107  	0.633211	-1 	0.739429
65 	57    	0.0616013  	0.625281	-1 	0.681988
66 	56    	0.057481   	0.689887	-1 	0.685033
67 	60    	-0.0979028 	0.686565	-1 	0.695927
68 	58    	-0.0649816 	0.643497	-1 	0.685459
69 	55    	0.0301405  	0.609218	-1 	0.685459
70 	52    	0.0837897  	0.658112	-1 	0.808502
71 	57    	0.164566   	0.648363	-1 	0.808502
72 	55    	0.0410326  	0.73169 	-1 	0.814285
73 	56    	0.0105725  	0.713475	-1 	0.705471
74 	55    	0.216614   	0.628846	-1 	0.742259
75 	55    	0.250184   	0.56745 	-1 	0.769316
76 	56    	0.00596477 	0.685766	-1 	0.804508
77 	53    	0.0185844  	0.715604	-1 	0.804508
78 	54    	0.0489666  	0.670393	-1 	0.765238
79 	56    	0.00197175 	0.674226	-1 	0.766994
80 	55    	0.167027   	0.597262	-1 	0.766994
81 	57    	0.113153   	0.68032 	-1 	0.790145
82 	54    	0.112108   	0.688576	-1 	0.792549
83 	57    	0.0626555  	0.684002	-1 	0.795862
84 	54    	0.1438     	0.697078	-1 	0.859403
85 	57    	-0.0845758 	0.798549	-1 	0.855764
86 	55    	-0.0420789 	0.78985 	-1 	0.855764
87 	56    	0.0937113  	0.680893	-1 	0.817903
88 	57    	0.0502371  	0.670445	-1 	0.809417
89 	55    	-0.0417292 	0.68916 	-1 	0.809417
90 	57    	0.142771   	0.621366	-1 	0.758614
91 	53    	0.0671278  	0.711951	-1 	0.858992
92 	55    	-0.0373634 	0.715661	-1 	0.758313
93 	59    	-0.0386693 	0.691737	-1 	0.742853
94 	56    	0.0137445  	0.697639	-1 	0.78274 
95 	54    	0.0483354  	0.743676	-1 	0.752936
96 	54    	0.061792   	0.685488	-1 	0.811015
97 	50    	0.0853559  	0.712197	-1 	0.920816
98 	57    	0.16252    	0.676047	-1 	0.921835
99 	57    	0.236376   	0.588695	-1 	0.921835
100	51    	0.19129    	0.64462 	-1 	0.921835
101	57    	-0.00617976	0.737299	-1 	0.921835
102	57    	0.304066   	0.582408	-1 	0.932207
103	55    	0.236271   	0.62308 	-1 	0.927959
104	54    	0.31005    	0.606623	-1 	0.927959
105	56    	0.0781853  	0.732876	-1 	0.947031
106	55    	0.224846   	0.650972	-1 	0.945708
107	53    	0.30204    	0.640829	-1 	0.945708
108	60    	0.190094   	0.648157	-1 	0.910778
109	56    	0.295162   	0.657875	-1 	0.924896
110	51    	0.31922    	0.589826	-1 	0.928524
111	55    	0.223116   	0.715059	-1 	0.935378
112	55    	0.353472   	0.624784	-1 	0.936073
113	57    	0.374487   	0.531783	-1 	0.925184
114	53    	0.144495   	0.753078	-1 	0.925186
115	54    	0.167287   	0.704927	-1 	0.926629
116	55    	0.279882   	0.668458	-1 	0.926629
117	57    	0.321751   	0.588776	-1 	0.926629
118	56    	0.233932   	0.68999 	-1 	0.926629
119	53    	0.152132   	0.733524	-1 	0.926629
120	55    	0.207625   	0.705091	-1 	0.907493
121	57    	0.415037   	0.487473	-1 	0.936518
122	53    	0.20049    	0.661444	-1 	0.922952
123	57    	0.288061   	0.678392	-1 	0.931734
124	53    	0.402099   	0.592645	-1 	0.931734
125	57    	0.295959   	0.636778	-1 	0.931734
126	58    	0.249805   	0.669056	-1 	0.930772
127	56    	0.265333   	0.652945	-1 	0.934001
128	55    	0.192542   	0.668485	-1 	0.934001
129	56    	0.28742    	0.603577	-1 	0.945852
130	58    	0.0934499  	0.72745 	-1 	0.932807
