gen	nevals	avg       	stddev  	min	max      
0  	60    	-0.0833333	0.276385	-1 	0        
1  	56    	-0.0666667	0.249444	-1 	0        
2  	53    	-0.0331573	0.179543	-1 	0.0105628
3  	56    	-0.0657047	0.249744	-1 	0.0308069
4  	55    	-0.0800493	0.277905	-1 	0.130794 
5  	55    	-0.0819784	0.308647	-1 	0.152322 
6  	56    	-0.0554244	0.320208	-1 	0.207959 
7  	56    	-0.0826995	0.389119	-1 	0.187214 
8  	53    	-0.0311904	0.384672	-1 	0.268065 
9  	54    	-0.084682 	0.461424	-1 	0.268461 
10 	59    	-0.174585 	0.50274 	-1 	0.268461 
11 	54    	-0.12889  	0.48653 	-1 	0.254766 
12 	55    	-0.113777 	0.494694	-1 	0.265672 
13 	57    	-0.144317 	0.521591	-1 	0.354585 
14 	56    	-0.228411 	0.571533	-1 	0.354585 
15 	56    	-0.212634 	0.564415	-1 	0.434507 
16 	56    	0.0920933 	0.347492	-1 	0.440596 
17 	57    	-0.0394208	0.492259	-1 	0.429359 
18 	55    	0.0332247 	0.472935	-1 	0.398426 
19 	56    	0.0307251 	0.476633	-1 	0.44515  
20 	57    	0.0222706 	0.521672	-1 	0.44515  
21 	56    	-0.236169 	0.612448	-1 	0.44515  
22 	57    	-0.0348029	0.524455	-1 	0.456268 
23 	57    	-0.116308 	0.58968 	-1 	0.480935 
24 	55    	-0.0299094	0.548383	-1 	0.496909 
25 	57    	0.00755633	0.522198	-1 	0.493989 
26 	55    	-0.0119592	0.515596	-1 	0.493989 
27 	53    	0.122396  	0.463903	-1 	0.506405 
28 	55    	0.0369076 	0.536371	-1 	0.529779 
29 	49    	0.0359557 	0.586912	-1 	0.591546 
30 	59    	0.0842883 	0.593452	-1 	0.617146 
31 	57    	0.229399  	0.481387	-1 	0.617146 
32 	54    	0.0784434 	0.591724	-1 	0.617146 
33 	54    	0.216021  	0.511506	-1 	0.682348 
34 	55    	0.131424  	0.603529	-1 	0.724072 
35 	50    	0.250679  	0.57525 	-1 	0.813071 
36 	57    	0.233212  	0.571542	-1 	0.724072 
37 	58    	0.162202  	0.594461	-1 	0.732233 
38 	51    	0.214038  	0.615291	-1 	0.739432 
39 	58    	0.162397  	0.628782	-1 	0.720429 
40 	54    	0.0334798 	0.707701	-1 	0.727958 
41 	53    	0.20852   	0.635912	-1 	0.737048 
42 	57    	0.156713  	0.668091	-1 	0.803855 
43 	57    	-0.0151819	0.732976	-1 	0.79532  
44 	55    	0.049046  	0.702222	-1 	0.821949 
45 	55    	0.113117  	0.674976	-1 	0.852217 
46 	54    	0.143274  	0.689977	-1 	0.852217 
47 	56    	0.176295  	0.659048	-1 	0.788097 
48 	58    	0.0856739 	0.689653	-1 	0.769001 
49 	55    	-0.0105994	0.751746	-1 	0.76954  
50 	53    	0.104501  	0.698357	-1 	0.812118 
51 	52    	0.175605  	0.637498	-1 	0.808971 
52 	55    	0.131365  	0.645686	-1 	0.789273 
53 	55    	0.0201023 	0.728718	-1 	0.789273 
54 	54    	0.13569   	0.677344	-1 	0.929924 
55 	53    	0.138534  	0.741111	-1 	0.929924 
56 	56    	0.00331712	0.753552	-1 	0.929924 
57 	55    	0.0138276 	0.726294	-1 	0.867669 
58 	58    	0.0925495 	0.669596	-1 	0.847616 
59 	53    	0.172997  	0.666129	-1 	0.877983 
60 	54    	0.287062  	0.64864 	-1 	0.904238 
61 	57    	-0.0724452	0.804142	-1 	0.90424  
62 	55    	0.0452296 	0.765027	-1 	0.90424  
63 	58    	0.0616196 	0.716267	-1 	0.874665 
64 	55    	0.163953  	0.70949 	-1 	0.874665 
65 	54    	0.241304  	0.624866	-1 	0.928944 
66 	56    	-0.0442547	0.760273	-1 	0.920651 
67 	56    	0.0971383 	0.70716 	-1 	0.878    
68 	56    	0.143383  	0.696412	-1 	0.890156 
69 	54    	0.219786  	0.673643	-1 	0.890156 
70 	57    	0.113618  	0.750741	-1 	0.890156 
71 	52    	0.185617  	0.7402  	-1 	0.847703 
72 	54    	0.125228  	0.769244	-1 	0.851018 
73 	58    	0.116913  	0.732188	-1 	0.851018 
74 	56    	0.153207  	0.721368	-1 	0.851018 
75 	57    	0.235133  	0.660873	-1 	0.859946 
76 	59    	0.259605  	0.640824	-1 	0.837483 
77 	56    	0.0459462 	0.766321	-1 	0.829579 
78 	54    	0.15519   	0.7256  	-1 	0.836622 
