gen	nevals	avg         	stddev  	min	max      
0  	60    	-0.0160563  	0.128184	-1 	0.0366221
1  	56    	-0.0641982  	0.250273	-1 	0.0382397
2  	54    	-0.0754087  	0.279209	-1 	0.0564028
3  	57    	-0.126088   	0.369518	-1 	0.220715 
4  	57    	-0.112824   	0.374861	-1 	0.220715 
5  	57    	-0.0116768  	0.270736	-1 	0.335571 
6  	59    	-0.0268197  	0.330833	-1 	0.277504 
7  	57    	-0.098188   	0.461434	-1 	0.422471 
8  	56    	-0.127979   	0.537748	-1 	0.457199 
9  	53    	0.0254755   	0.482928	-1 	0.509028 
10 	53    	0.0327491   	0.58575 	-1 	0.552005 
11 	59    	-0.038125   	0.605778	-1 	0.596489 
12 	54    	0.0840959   	0.55002 	-1 	0.65806  
13 	56    	0.0455276   	0.587943	-1 	0.697605 
14 	53    	-0.0457851  	0.650961	-1 	0.697605 
15 	52    	-0.0935842  	0.627634	-1 	0.625937 
16 	54    	0.129451    	0.552179	-1 	0.680905 
17 	54    	-0.0323107  	0.647346	-1 	0.663791 
18 	54    	0.123741    	0.534648	-1 	0.696732 
19 	58    	0.0796502   	0.612414	-1 	0.747471 
20 	52    	0.135103    	0.612277	-1 	0.690849 
21 	58    	0.219426    	0.534516	-1 	0.719463 
22 	54    	0.0705207   	0.633924	-1 	0.745982 
23 	56    	0.171022    	0.525283	-1 	0.750854 
24 	54    	0.0984095   	0.651263	-1 	0.842587 
25 	57    	-0.000598852	0.649067	-1 	0.842587 
26 	59    	0.0435374   	0.64595 	-1 	0.834721 
27 	53    	0.0451577   	0.640896	-1 	0.691062 
28 	53    	0.107406    	0.584633	-1 	0.788038 
29 	57    	0.0190802   	0.707798	-1 	0.768118 
30 	58    	0.0567181   	0.660589	-1 	0.816027 
31 	58    	0.126054    	0.695997	-1 	0.782193 
32 	54    	0.158048    	0.615072	-1 	0.79189  
33 	56    	0.0544382   	0.727457	-1 	0.79189  
34 	56    	0.227694    	0.636553	-1 	0.79189  
35 	57    	0.172573    	0.653694	-1 	0.850557 
36 	52    	0.170131    	0.654513	-1 	0.850557 
37 	51    	0.316039    	0.621637	-1 	0.807936 
38 	55    	0.151575    	0.691892	-1 	0.810241 
39 	57    	0.120909    	0.664833	-1 	0.840512 
40 	57    	0.130856    	0.640717	-1 	0.840512 
41 	55    	0.15178     	0.692096	-1 	0.840782 
42 	58    	0.312442    	0.60678 	-1 	0.840782 
43 	56    	0.224885    	0.635802	-1 	0.935335 
44 	55    	0.263879    	0.66888 	-1 	0.960297 
45 	53    	0.317602    	0.654945	-1 	0.960297 
46 	56    	0.207629    	0.706206	-1 	0.949159 
47 	57    	0.125553    	0.724644	-1 	0.949159 
48 	55    	0.217909    	0.671735	-1 	0.949159 
49 	59    	0.257623    	0.734114	-1 	0.967281 
50 	55    	0.242302    	0.70435 	-1 	0.993006 
51 	56    	0.166649    	0.740966	-1 	1.02873  
52 	55    	0.401096    	0.600383	-1 	1.03339  
53 	55    	0.144451    	0.730412	-1 	1.02597  
54 	56    	0.178607    	0.680403	-1 	1.03721  
55 	57    	0.183023    	0.73837 	-1 	1.02597  
56 	57    	0.125251    	0.785536	-1 	1.02597  
57 	54    	0.225954    	0.744741	-1 	1.02597  
58 	55    	0.396185    	0.624931	-1 	1.03902  
59 	52    	0.180862    	0.680368	-1 	0.992219 
60 	56    	0.208122    	0.691309	-1 	0.991995 
61 	54    	0.316209    	0.694106	-1 	1.08654  
62 	55    	0.160272    	0.735349	-1 	1.09885  
63 	57    	0.0431731   	0.779532	-1 	1.08654  
64 	53    	0.330967    	0.72764 	-1 	1.08654  
