gen	nevals	avg        	stddev  	min	max      
0  	60    	-0.05      	0.217945	-1 	0        
1  	54    	-0.0828657 	0.27655 	-1 	0.0280575
2  	53    	-0.0153324 	0.128591	-1 	0.079007 
3  	54    	-0.0611108 	0.251695	-1 	0.102003 
4  	58    	-0.107126  	0.354539	-1 	0.322533 
5  	55    	-0.0142688 	0.27448 	-1 	0.322533 
6  	55    	0.0262806  	0.254365	-1 	0.34639  
7  	53    	-0.0298282 	0.422343	-1 	0.348177 
8  	58    	0.00448    	0.411489	-1 	0.390598 
9  	55    	0.00478656 	0.44242 	-1 	0.400818 
10 	58    	-0.00823523	0.486418	-1 	0.444045 
11 	53    	0.117898   	0.397501	-1 	0.464999 
12 	59    	-0.00770457	0.562751	-1 	0.535997 
13 	55    	-0.0509659 	0.547316	-1 	0.539399 
14 	55    	0.0928213  	0.428567	-1 	0.539399 
15 	54    	-0.0486562 	0.568496	-1 	0.588238 
16 	54    	0.0832515  	0.481745	-1 	0.588238 
17 	55    	-0.187745  	0.615827	-1 	0.494648 
18 	55    	0.0257944  	0.514167	-1 	0.58478  
19 	56    	-0.0331404 	0.564591	-1 	0.623552 
20 	53    	0.129383   	0.508381	-1 	0.753814 
21 	53    	0.141341   	0.529219	-1 	0.812208 
22 	57    	-0.0120463 	0.588735	-1 	0.753814 
23 	54    	0.0784579  	0.563722	-1 	0.753814 
24 	55    	0.290314   	0.427814	-1 	0.752145 
25 	56    	0.148747   	0.541664	-1 	0.760649 
26 	57    	0.241004   	0.537307	-1 	0.711386 
27 	57    	0.217041   	0.563315	-1 	0.74817  
28 	56    	0.148334   	0.648006	-1 	0.778538 
29 	54    	0.184969   	0.558509	-1 	0.787763 
30 	51    	0.280252   	0.517646	-1 	0.787763 
31 	53    	0.185265   	0.540516	-1 	0.85102  
32 	57    	-0.0370968 	0.692523	-1 	0.820791 
33 	54    	0.20971    	0.507122	-1 	0.822303 
34 	54    	0.258091   	0.553729	-1 	0.822303 
35 	56    	0.130653   	0.653628	-1 	0.831268 
36 	57    	0.0790268  	0.623598	-1 	0.831268 
37 	57    	-0.0140964 	0.595956	-1 	0.831268 
38 	55    	0.162396   	0.560836	-1 	0.831268 
39 	55    	0.213753   	0.526957	-1 	0.842672 
40 	53    	0.0983045  	0.655179	-1 	0.794842 
41 	58    	0.0381478  	0.653802	-1 	0.796881 
42 	57    	0.194185   	0.600632	-1 	0.835799 
43 	57    	0.0938167  	0.613172	-1 	0.77437  
44 	56    	0.151332   	0.632509	-1 	0.787797 
45 	54    	0.0920309  	0.635867	-1 	0.787797 
46 	53    	0.168095   	0.635851	-1 	0.804824 
47 	55    	0.104838   	0.639674	-1 	0.909379 
48 	56    	0.136138   	0.631905	-1 	0.83823  
49 	53    	0.135398   	0.630781	-1 	0.83823  
50 	53    	0.173716   	0.538036	-1 	0.83823  
51 	54    	0.217222   	0.538091	-1 	0.83823  
52 	55    	0.171471   	0.572496	-1 	0.838202 
53 	52    	0.195187   	0.601229	-1 	0.798432 
54 	56    	0.044556   	0.652375	-1 	0.806184 
55 	54    	0.120215   	0.59539 	-1 	0.824701 
56 	57    	0.200846   	0.571082	-1 	0.806184 
57 	50    	0.289084   	0.57053 	-1 	0.909379 
58 	52    	0.128466   	0.72264 	-1 	0.909379 
59 	57    	0.104029   	0.694045	-1 	0.909379 
60 	59    	0.141144   	0.670062	-1 	0.825641 
61 	58    	-0.0583534 	0.643483	-1 	0.99148  
62 	48    	0.181709   	0.560367	-1 	0.99148  
63 	55    	-0.00357387	0.650999	-1 	0.99148  
64 	53    	0.0585532  	0.619376	-1 	0.792773 
65 	53    	0.315181   	0.530245	-1 	0.792773 
66 	54    	0.226788   	0.611585	-1 	0.797861 
67 	57    	-0.00973893	0.631146	-1 	0.79903  
68 	51    	0.157481   	0.585719	-1 	0.803605 
69 	56    	0.229112   	0.466108	-1 	0.79903  
70 	56    	0.128352   	0.672293	-1 	0.79903  
71 	54    	0.194636   	0.63284 	-1 	0.793631 
72 	51    	0.22262    	0.555888	-1 	0.93533  
73 	56    	0.106532   	0.647455	-1 	0.93533  
74 	52    	0.243684   	0.647213	-1 	0.946342 
75 	54    	0.247492   	0.719437	-1 	0.983325 
76 	57    	0.310801   	0.644467	-1 	1.00059  
77 	58    	-0.0197075 	0.761402	-1 	0.96127  
78 	56    	0.172669   	0.616155	-1 	0.96127  
79 	55    	0.129845   	0.736924	-1 	0.96127  
80 	54    	0.145112   	0.754884	-1 	0.961493 
81 	56    	-0.0857658 	0.817394	-1 	1.01931  
82 	57    	0.116795   	0.729244	-1 	0.96127  
83 	53    	0.246533   	0.688346	-1 	1.09571  
84 	55    	0.135219   	0.780257	-1 	1.02324  
85 	55    	0.275365   	0.714274	-1 	1.09448  
86 	53    	0.28937    	0.751214	-1 	1.09448  
87 	56    	0.140697   	0.74896 	-1 	1.12115  
88 	56    	-0.0599985 	0.817907	-1 	1.02764  
89 	52    	0.301554   	0.65722 	-1 	1.12115  
90 	57    	0.264308   	0.714128	-1 	1.13944  
91 	58    	0.243315   	0.718764	-1 	1.14086  
92 	57    	0.194154   	0.772844	-1 	1.13322  
93 	55    	0.292896   	0.716377	-1 	1.15978  
94 	56    	0.122699   	0.767091	-1 	1.1594   
95 	53    	0.300876   	0.672493	-1 	1.15601  
96 	56    	0.244964   	0.694673	-1 	1.18051  
97 	55    	0.424343   	0.622376	-1 	1.18051  
98 	53    	0.374549   	0.704167	-1 	1.18053  
99 	56    	0.26551    	0.809568	-1 	1.18053  
100	55    	0.349719   	0.750102	-1 	1.18227  
101	55    	0.269444   	0.709213	-1 	1.13379  
102	55    	0.200764   	0.750452	-1 	1.13379  
103	60    	0.329085   	0.619259	-1 	1.0976   
104	59    	0.349023   	0.661302	-1 	1.0976   
105	55    	0.126473   	0.726508	-1 	1.0857   
106	54    	0.312814   	0.738519	-1 	1.10734  
107	54    	0.52537    	0.622402	-1 	1.11684  
108	54    	0.453298   	0.632061	-1 	1.11684  
109	55    	0.353519   	0.741627	-1 	1.11684  
110	55    	0.364379   	0.783361	-1 	1.12954  
111	56    	0.292087   	0.701795	-1 	1.12264  
112	58    	0.421765   	0.593633	-1 	1.11838  
113	59    	0.103349   	0.752384	-1 	1.11838  
114	56    	0.326689   	0.675066	-1 	1.13589  
115	58    	0.289583   	0.683321	-1 	1.14461  
