gen	nevals	avg        	stddev  	min	max       
0  	60    	-0.0333333 	0.179505	-1 	0         
1  	54    	-0.0332632 	0.179519	-1 	0.00420703
2  	54    	-0.0658261 	0.24972 	-1 	0.0387501 
3  	56    	-0.130393  	0.341233	-1 	0.0426667 
4  	51    	-0.161308  	0.375463	-1 	0.114043  
5  	55    	-0.272079  	0.458409	-1 	0.114043  
6  	52    	-0.214339  	0.434818	-1 	0.143607  
7  	55    	-0.409282  	0.518712	-1 	0.275419  
8  	56    	-0.310019  	0.489299	-1 	0.174628  
9  	54    	-0.246564  	0.475693	-1 	0.199875  
10 	55    	-0.327504  	0.51416 	-1 	0.199875  
11 	56    	-0.24188   	0.50056 	-1 	0.284846  
12 	57    	-0.235852  	0.50638 	-1 	0.296309  
13 	53    	-0.273286  	0.538791	-1 	0.298845  
14 	55    	-0.278409  	0.574866	-1 	0.383855  
15 	51    	-0.250623  	0.579846	-1 	0.370774  
16 	47    	-0.235901  	0.592168	-1 	0.370774  
17 	58    	-0.231449  	0.59809 	-1 	0.436746  
18 	54    	0.0892204  	0.455893	-1 	0.48949   
19 	57    	-0.0606481 	0.586596	-1 	0.513679  
20 	57    	0.053623   	0.527751	-1 	0.520081  
21 	54    	-0.103499  	0.612829	-1 	0.520171  
22 	54    	0.102027   	0.523582	-1 	0.533421  
23 	59    	-0.00777877	0.619267	-1 	0.571943  
24 	54    	0.0405252  	0.599549	-1 	0.571943  
25 	49    	0.035389   	0.5997  	-1 	0.571943  
26 	50    	0.131369   	0.537699	-1 	0.581432  
27 	54    	-0.0267648 	0.616844	-1 	0.591018  
28 	56    	-0.0513324 	0.642616	-1 	0.572431  
29 	56    	0.0654565  	0.540506	-1 	0.625762  
30 	59    	-0.0363676 	0.572591	-1 	0.650182  
31 	58    	0.0558156  	0.568275	-1 	0.650182  
32 	57    	-0.00532084	0.625621	-1 	0.655843  
33 	55    	-0.0322125 	0.661608	-1 	0.658552  
34 	52    	-0.053574  	0.679024	-1 	0.677186  
35 	54    	-0.0233592 	0.670552	-1 	0.746269  
36 	54    	0.188684   	0.539217	-1 	0.66658   
37 	54    	-0.00662997	0.660748	-1 	0.686226  
38 	56    	-0.0725041 	0.665479	-1 	0.663825  
39 	58    	-0.0234239 	0.631539	-1 	0.696799  
40 	57    	0.104295   	0.593271	-1 	0.699492  
41 	57    	-0.0134332 	0.678222	-1 	0.699492  
42 	57    	0.00807333 	0.674981	-1 	0.707906  
43 	58    	-0.0103402 	0.683102	-1 	0.698452  
44 	57    	0.13461    	0.628108	-1 	0.690834  
45 	56    	0.169557   	0.614281	-1 	0.690002  
46 	57    	0.0926848  	0.597857	-1 	0.691942  
47 	58    	-0.0246222 	0.653814	-1 	0.690557  
48 	52    	0.107154   	0.603393	-1 	0.682644  
49 	58    	0.122418   	0.603638	-1 	0.722073  
50 	58    	0.0871968  	0.60798 	-1 	0.722073  
51 	54    	0.0406508  	0.662309	-1 	0.722073  
52 	53    	0.0461592  	0.659827	-1 	0.722073  
53 	55    	0.0527123  	0.641332	-1 	0.704113  
54 	57    	-0.0054388 	0.679938	-1 	0.68872   
55 	54    	0.263351   	0.52806 	-1 	0.728233  
56 	52    	0.107952   	0.621489	-1 	0.70304   
57 	52    	0.134613   	0.62774 	-1 	0.700949  
58 	52    	0.0689848  	0.699248	-1 	0.704391  
59 	56    	0.227354   	0.591872	-1 	0.730588  
60 	58    	0.00863416 	0.653993	-1 	0.737359  
61 	55    	0.0911629  	0.648735	-1 	0.694395  
62 	55    	0.137017   	0.690881	-1 	0.721504  
63 	56    	0.153621   	0.673778	-1 	0.740742  
64 	54    	0.124495   	0.638165	-1 	0.74852   
65 	55    	0.184334   	0.660234	-1 	0.74852   
66 	55    	0.230283   	0.626113	-1 	0.748522  
67 	54    	0.128024   	0.64382 	-1 	0.748522  
68 	55    	0.0771951  	0.662789	-1 	0.748522  
69 	56    	-0.056359  	0.683237	-1 	0.726546  
70 	55    	0.0163026  	0.656551	-1 	0.71508   
71 	56    	0.0549524  	0.632422	-1 	0.717183  
72 	54    	0.189831   	0.582334	-1 	0.717183  
73 	57    	0.092081   	0.666465	-1 	0.689589  
74 	58    	-0.0675889 	0.695239	-1 	0.716157  
75 	57    	-0.0186623 	0.594444	-1 	0.713494  
76 	55    	-0.0288822 	0.652291	-1 	0.714887  
77 	59    	0.00634504 	0.671023	-1 	0.69695   
78 	50    	0.143148   	0.664784	-1 	0.744262  
79 	54    	0.13974    	0.624173	-1 	0.744262  
80 	53    	0.191761   	0.639172	-1 	0.744169  
81 	55    	0.116021   	0.723074	-1 	0.744215  
82 	58    	0.0676048  	0.7264  	-1 	0.730294  
83 	54    	0.150708   	0.663376	-1 	0.748887  
84 	54    	0.0164813  	0.684234	-1 	0.748887  
85 	58    	0.0153961  	0.679239	-1 	0.737776  
86 	56    	0.0656268  	0.684266	-1 	0.744168  
87 	57    	0.0728652  	0.686889	-1 	0.781055  
88 	56    	0.223799   	0.64781 	-1 	0.779106  
89 	56    	0.0611291  	0.707891	-1 	0.790769  
90 	56    	0.188257   	0.63736 	-1 	0.791194  
91 	53    	-0.00564697	0.689295	-1 	0.79061   
92 	58    	-0.0848681 	0.688569	-1 	0.766846  
93 	54    	0.00196614 	0.695744	-1 	0.785107  
94 	57    	0.136482   	0.644538	-1 	0.785     
95 	52    	0.0204079  	0.709538	-1 	0.791966  
96 	57    	-0.143293  	0.713517	-1 	0.791914  
97 	53    	0.00543772 	0.677993	-1 	0.860463  
98 	53    	0.0992136  	0.653511	-1 	0.860463  
99 	56    	0.106862   	0.633162	-1 	0.860463  
100	52    	0.183447   	0.643268	-1 	0.860463  
101	56    	0.249882   	0.664659	-1 	0.860463  
102	51    	0.333411   	0.645544	-1 	0.860463  
103	54    	0.381252   	0.547205	-1 	0.860463  
104	57    	0.306779   	0.602756	-1 	0.894516  
105	55    	0.118614   	0.705018	-1 	0.872108  
106	53    	-0.0164624 	0.776373	-1 	0.940278  
107	57    	0.235347   	0.63032 	-1 	0.940278  
108	55    	0.242045   	0.688569	-1 	1.02391   
109	55    	0.388163   	0.524696	-1 	1.00922   
110	55    	0.28851    	0.603022	-1 	0.939474  
111	52    	0.284356   	0.612589	-1 	0.937483  
112	58    	0.22094    	0.589667	-1 	0.975113  
113	60    	0.226558   	0.581669	-1 	0.907702  
114	54    	0.300277   	0.612251	-1 	1.00945   
115	54    	0.356682   	0.589731	-1 	1.08417   
116	57    	0.141998   	0.685663	-1 	1.10344   
117	53    	0.352154   	0.646553	-1 	1.04371   
118	52    	0.320336   	0.618861	-1 	1.04371   
119	59    	0.401805   	0.611978	-1 	1.04371   
120	57    	0.413271   	0.602645	-1 	1.10167   
121	56    	0.412697   	0.590207	-1 	1.10167   
122	55    	0.248419   	0.74279 	-1 	1.10281   
123	57    	0.254921   	0.747877	-1 	1.28139   
124	58    	0.192094   	0.82023 	-1 	1.28139   
125	53    	0.604198   	0.576094	-1 	1.09537   
126	53    	0.381678   	0.684378	-1 	1.2042    
127	55    	0.263266   	0.756913	-1 	1.10145   
128	54    	0.235172   	0.733981	-1 	1.04778   
129	56    	0.21812    	0.747425	-1 	1.04778   
130	59    	0.255963   	0.701542	-1 	1.0443    
