gen	nevals	avg        	stddev    	min       	max        
0  	60    	0          	0         	0         	0          
1  	53    	0          	0         	0         	0          
2  	57    	0          	0         	0         	0          
3  	54    	0          	0         	0         	0          
4  	57    	0          	0         	0         	0          
5  	55    	-0.0333333 	0.179505  	-1        	0          
6  	58    	0          	0         	0         	0          
7  	57    	0          	0         	0         	0          
8  	57    	0          	0         	0         	0          
9  	55    	0          	0         	0         	0          
10 	57    	0          	0         	0         	0          
11 	54    	-0.0166667 	0.128019  	-1        	0          
12 	53    	-0.0333333 	0.179505  	-1        	0          
13 	55    	-0.0333262 	0.179507  	-1        	0.000428188
14 	58    	0.000318445	0.0023358 	0         	0.0182503  
15 	59    	0.000948176	0.00397104	0         	0.0182503  
16 	57    	0.00403235 	0.00769625	0         	0.0299896  
17 	58    	0.0112378  	0.00978896	0         	0.0299896  
18 	52    	0.0174651  	0.0142004 	0         	0.093883   
19 	55    	0.0266122  	0.0148815 	0         	0.093883   
20 	56    	0.031745   	0.0209456 	0         	0.093883   
21 	52    	0.0522883  	0.0309973 	0         	0.093883   
22 	49    	0.0834585  	0.0231354 	0         	0.100759   
23 	54    	0.0795155  	0.0306365 	0         	0.100759   
24 	54    	0.084808   	0.0274516 	0         	0.100759   
25 	58    	0.0821706  	0.0301832 	0         	0.100759   
26 	58    	0.0931161  	0.0343617 	0         	0.228225   
27 	55    	0.11686    	0.0411406 	0.0260872 	0.228225   
28 	57    	0.136874   	0.0644869 	0         	0.242186   
29 	58    	0.20282    	0.0437382 	0.0619591 	0.242186   
30 	56    	0.219871   	0.0430064 	0.0266571 	0.242186   
31 	59    	0.234351   	0.0273729 	0.0872154 	0.242186   
32 	59    	0.233705   	0.0286434 	0.101539  	0.244267   
33 	54    	0.233795   	0.0317291 	0.0861563 	0.259998   
34 	53    	0.233175   	0.0361264 	0.0672275 	0.259998   
35 	57    	0.235209   	0.0392275 	0.0290124 	0.259998   
36 	57    	0.253206   	0.0327389 	0.112561  	0.44648    
