gen	nevals	avg        	stddev     	min       	max       
0  	60    	0          	0          	0         	0         
1  	56    	0          	0          	0         	0         
2  	57    	0          	0          	0         	0         
3  	53    	0          	0          	0         	0         
4  	58    	0          	0          	0         	0         
5  	57    	0          	0          	0         	0         
6  	57    	0          	0          	0         	0         
7  	52    	0          	0          	0         	0         
8  	54    	0          	0          	0         	0         
9  	55    	0          	0          	0         	0         
10 	58    	0          	0          	0         	0         
11 	57    	0          	0          	0         	0         
12 	58    	0          	0          	0         	0         
13 	52    	0          	0          	0         	0         
14 	55    	0          	0          	0         	0         
15 	54    	0          	0          	0         	0         
16 	55    	2.93902e-05	0.000225751	0         	0.00176341
17 	52    	9.00241e-05	0.000384166	0         	0.00176341
18 	56    	0.00109573 	0.00550411 	0         	0.0416801 
19 	53    	0.00516205 	0.0124972  	0         	0.0584205 
20 	59    	0.0151636  	0.0196474  	0         	0.0706381 
21 	53    	0.0295634  	0.0230063  	0         	0.0706507 
22 	52    	0.0499926  	0.0315654  	0         	0.211175  
23 	56    	0.0728194  	0.050528   	0         	0.232995  
24 	55    	0.107201   	0.0684742  	0         	0.232995  
25 	54    	0.178401   	0.0581874  	0.0502401 	0.266951  
26 	54    	0.197884   	0.0608833  	0.0164953 	0.282025  
27 	53    	0.182303   	0.0882164  	0         	0.284859  
28 	58    	0.201504   	0.0808959  	0         	0.284859  
29 	53    	0.189639   	0.0985876  	0         	0.31093   
30 	58    	0.2181     	0.0936786  	0         	0.31093   
31 	53    	0.217132   	0.0975996  	0         	0.312431  
32 	54    	0.226124   	0.103996   	0         	0.317522  
33 	53    	0.252477   	0.106189   	0         	0.363088  
34 	57    	0.227318   	0.125789   	0         	0.363089  
35 	56    	0.272613   	0.118972   	0         	0.417079  
36 	49    	0.314916   	0.112228   	0         	0.417079  
37 	54    	0.328957   	0.113505   	0.00243676	0.491748  
38 	58    	0.348893   	0.12691    	0         	0.491748  
39 	51    	0.367293   	0.159894   	0         	0.51829   
40 	55    	0.421636   	0.131513   	0         	0.51829   
41 	50    	0.432145   	0.145281   	0         	0.554528  
42 	56    	0.427432   	0.170473   	0         	0.620808  
43 	58    	0.455687   	0.139717   	0         	0.620808  
44 	53    	0.445252   	0.305108   	-1        	0.646984  
45 	57    	0.464668   	0.20546    	0         	0.646988  
46 	57    	0.491481   	0.238218   	0         	0.646988  
47 	52    	0.523141   	0.211243   	0         	0.646988  
48 	56    	0.479622   	0.255717   	0         	0.765826  
49 	58    	0.569451   	0.205337   	0         	0.79268   
50 	54    	0.547672   	0.248743   	0         	0.79268   
51 	60    	0.606626   	0.253419   	0         	0.841483  
52 	53    	0.61114    	0.267002   	0         	0.841483  
53 	54    	0.726929   	0.201903   	0         	0.87896   
54 	55    	0.638668   	0.307857   	0         	0.88784   
55 	55    	0.668469   	0.302611   	0         	0.88801   
56 	57    	0.697493   	0.27583    	0         	0.893144  
57 	54    	0.709999   	0.281138   	0         	0.893735  
58 	56    	0.727845   	0.273614   	0         	0.923277  
59 	56    	0.72798    	0.282609   	0         	0.925282  
60 	54    	0.78814    	0.262124   	0         	0.926854  
61 	54    	0.76724    	0.283836   	0         	0.934641  
62 	58    	0.730141   	0.305338   	0         	0.960123  
63 	55    	0.742449   	0.306924   	0         	0.972188  
64 	53    	0.76708    	0.299173   	0         	0.972188  
65 	53    	0.816583   	0.25594    	0         	0.972188  
66 	54    	0.781644   	0.314043   	0         	0.998144  
67 	55    	0.819059   	0.290544   	0         	0.998144  
68 	56    	0.793964   	0.343284   	0         	1.03992   
69 	57    	0.878431   	0.255887   	0.134172  	1.03992   
70 	56    	0.893324   	0.26061    	0.144914  	1.04783   
71 	55    	0.929066   	0.256131   	0         	1.05882   
72 	55    	0.853161   	0.348169   	0         	1.05882   
73 	57    	0.884225   	0.284068   	0.123653  	1.05882   
74 	53    	0.818225   	0.351116   	0         	1.05882   
75 	56    	0.807638   	0.387991   	0         	1.08119   
76 	55    	0.899809   	0.30861    	0.0924579 	1.13213   
77 	57    	0.919704   	0.283904   	0.179463  	1.13213   
78 	54    	0.905877   	0.314107   	0.0406144 	1.14391   
79 	58    	0.924871   	0.358917   	0         	1.14391   
80 	52    	0.876564   	0.394811   	0         	1.14391   
81 	52    	0.936237   	0.363245   	0.0924024 	1.14391   
82 	53    	0.87814    	0.386442   	0.0964961 	1.14612   
83 	57    	0.90914    	0.35204    	0         	1.1545    
84 	55    	0.8933     	0.38721    	0         	1.1545    
85 	54    	0.89334    	0.403218   	0         	1.1545    
86 	55    	0.944966   	0.387637   	0         	1.15521   
87 	54    	0.845082   	0.429999   	0         	1.16855   
88 	56    	0.916078   	0.413689   	0         	1.16855   
89 	58    	0.988733   	0.332593   	0.151663  	1.1861    
90 	57    	0.94189    	0.386505   	0.0693974 	1.1861    
91 	57    	0.936883   	0.391713   	0.0691154 	1.1861    
92 	56    	0.929002   	0.413932   	0.0711142 	1.19409   
93 	57    	0.866605   	0.468081   	0         	1.19409   
94 	54    	1.003      	0.381306   	0         	1.19681   
95 	57    	0.993551   	0.374679   	0.0711182 	1.19681   
96 	57    	0.896514   	0.432171   	0.0711182 	1.20487   
97 	56    	0.98664    	0.40129    	0         	1.20487   
98 	52    	1.03323    	0.335349   	0.071749  	1.21393   
99 	52    	0.994694   	0.404212   	0         	1.21393   
100	55    	0.986291   	0.370297   	0.157483  	1.21492   
101	56    	0.996702   	0.383058   	0.142925  	1.21492   
102	52    	1.06155    	0.345669   	0         	1.25534   
103	58    	0.955672   	0.411184   	0.137634  	1.25534   
104	59    	1.02001    	0.406835   	0         	1.25806   
105	55    	0.998172   	0.414786   	0.0746524 	1.25806   
106	57    	0.987906   	0.48066    	0         	1.29438   
107	54    	0.972455   	0.466965   	0         	1.29438   
108	54    	1.15325    	0.308336   	0.179398  	1.29438   
109	51    	1.12368    	0.354896   	0         	1.29655   
110	55    	1.11558    	0.384191   	0         	1.31392   
111	56    	0.967588   	0.472911   	0         	1.31392   
112	57    	1.05961    	0.383113   	0.179502  	1.31444   
113	55    	1.00316    	0.453683   	0         	1.31837   
114	58    	1.13347    	0.363577   	0.212984  	1.31837   
115	53    	1.06891    	0.437876   	0.00642245	1.32943   
116	53    	1.17926    	0.339044   	0         	1.32943   
117	57    	1.20672    	0.316498   	0.179502  	1.32943   
118	51    	1.10824    	0.429786   	0.130186  	1.32943   
119	58    	1.07913    	0.44831    	0         	1.33464   
120	57    	1.1584     	0.375586   	0         	1.33464   
121	57    	1.16669    	0.382113   	0.057329  	1.35063   
122	58    	1.06547    	0.446123   	0         	1.35063   
123	51    	1.07582    	0.468452   	0         	1.35439   
124	54    	1.14882    	0.40451    	0         	1.35439   
125	49    	1.13092    	0.430183   	0.125971  	1.35439   
126	56    	1.06128    	0.465168   	0         	1.35935   
127	56    	1.08702    	0.480898   	0         	1.35935   
128	50    	1.17272    	0.394058   	0.171467  	1.35935   
