gen	nevals	avg        	stddev    	min       	max      
0  	60    	0          	0         	0         	0        
1  	57    	0          	0         	0         	0        
2  	56    	0          	0         	0         	0        
3  	56    	0          	0         	0         	0        
4  	57    	0          	0         	0         	0        
5  	55    	-0.0166667 	0.128019  	-1        	0        
6  	59    	0          	0         	0         	0        
7  	56    	0          	0         	0         	0        
8  	59    	0.000414241	0.00318185	0         	0.0248545
9  	58    	0          	0         	0         	0        
10 	56    	0          	0         	0         	0        
11 	57    	0          	0         	0         	0        
12 	57    	0          	0         	0         	0        
13 	52    	0          	0         	0         	0        
14 	56    	0          	0         	0         	0        
15 	53    	0.000275291	0.00211455	0         	0.0165174
16 	55    	0.00233357 	0.00850026	0         	0.057427 
17 	55    	0.00853109 	0.0146661 	0         	0.0662919
18 	55    	0.0172669  	0.0183018 	0         	0.0662919
19 	53    	0.0323174  	0.0320895 	0         	0.14213  
20 	56    	0.0650874  	0.0399218 	0         	0.14213  
21 	55    	0.0961654  	0.0418937 	0         	0.147764 
22 	57    	0.112962   	0.0449616 	0         	0.153158 
23 	56    	0.123629   	0.0478707 	0         	0.185173 
24 	55    	0.137287   	0.0474064 	0         	0.245412 
25 	58    	0.133028   	0.0704437 	0         	0.318199 
26 	58    	0.155266   	0.0764952 	0         	0.318199 
27 	54    	0.215521   	0.0832759 	0         	0.318199 
28 	53    	0.280808   	0.068182  	0.0974354 	0.368695 
29 	54    	0.284223   	0.0913657 	0         	0.375754 
30 	57    	0.282463   	0.104161  	0         	0.395566 
31 	55    	0.300177   	0.118402  	0         	0.462843 
32 	54    	0.301649   	0.141479  	0         	0.492804 
33 	57    	0.347572   	0.124295  	0         	0.492804 
34 	56    	0.34297    	0.145898  	0         	0.492804 
35 	55    	0.369712   	0.127436  	0         	0.492804 
36 	56    	0.408592   	0.125909  	0         	0.499322 
37 	55    	0.406483   	0.155583  	0         	0.51488  
38 	55    	0.366344   	0.184026  	0         	0.51488  
39 	56    	0.410873   	0.171892  	0         	0.541629 
40 	56    	0.424884   	0.16694   	0         	0.541629 
41 	56    	0.419402   	0.186888  	0         	0.546615 
42 	57    	0.46448    	0.169823  	0         	0.546615 
43 	56    	0.475509   	0.172081  	0         	0.602394 
44 	53    	0.444393   	0.198098  	0         	0.602394 
45 	54    	0.517272   	0.12623   	0         	0.605875 
46 	52    	0.498785   	0.180469  	0         	0.608347 
47 	55    	0.543854   	0.148163  	0         	0.608347 
48 	57    	0.530993   	0.161076  	0         	0.643239 
