gen	nevals	avg        	stddev    	min        	max      
0  	60    	0          	0         	0          	0        
1  	53    	0          	0         	0          	0        
2  	56    	0          	0         	0          	0        
3  	56    	0          	0         	0          	0        
4  	57    	0          	0         	0          	0        
5  	53    	0          	0         	0          	0        
6  	54    	0          	0         	0          	0        
7  	57    	0          	0         	0          	0        
8  	54    	0          	0         	0          	0        
9  	58    	0          	0         	0          	0        
10 	55    	0          	0         	0          	0        
11 	55    	0          	0         	0          	0        
12 	54    	0          	0         	0          	0        
13 	52    	0          	0         	0          	0        
14 	54    	0          	0         	0          	0        
15 	52    	-0.0166667 	0.128019  	-1         	0        
16 	53    	-0.0166667 	0.128019  	-1         	0        
17 	57    	-0.0166667 	0.128019  	-1         	0        
18 	55    	0          	0         	0          	0        
19 	54    	0          	0         	0          	0        
20 	53    	0          	0         	0          	0        
21 	55    	0          	0         	0          	0        
22 	55    	0          	0         	0          	0        
23 	56    	0.000371452	0.00205625	0          	0.0137521
24 	57    	0.00124097 	0.0040106 	0          	0.0194643
25 	52    	0.0035246  	0.00679464	0          	0.035309 
26 	54    	0.0105334  	0.0101588 	0          	0.0364283
27 	57    	0.0237355  	0.0161422 	0          	0.0782977
28 	55    	0.0395154  	0.0239331 	0          	0.124427 
29 	51    	0.0642156  	0.0347593 	0          	0.14907  
30 	54    	0.091783   	0.0437108 	0          	0.205733 
31 	55    	0.11969    	0.0484688 	0          	0.205748 
32 	58    	0.138726   	0.0624324 	0          	0.221947 
33 	58    	0.165166   	0.0598799 	0          	0.236312 
34 	54    	0.177584   	0.0640746 	0          	0.236312 
35 	58    	0.181224   	0.0708972 	0          	0.255209 
36 	55    	0.20252    	0.0625511 	0          	0.277208 
37 	58    	0.199022   	0.074393  	0.00277158 	0.290722 
38 	54    	0.233879   	0.063144  	0          	0.342669 
39 	56    	0.226029   	0.183102  	-1         	0.388601 
40 	57    	0.259318   	0.102248  	0          	0.388596 
41 	53    	0.290165   	0.0791998 	0.0229631  	0.388596 
