gen	nevals	avg        	stddev    	min      	max      
0  	60    	0          	0         	0        	0        
1  	55    	0          	0         	0        	0        
2  	52    	0          	0         	0        	0        
3  	54    	0          	0         	0        	0        
4  	56    	0          	0         	0        	0        
5  	53    	0          	0         	0        	0        
6  	59    	0          	0         	0        	0        
7  	55    	0          	0         	0        	0        
8  	54    	0          	0         	0        	0        
9  	58    	0          	0         	0        	0        
10 	53    	0          	0         	0        	0        
11 	52    	0          	0         	0        	0        
12 	53    	0          	0         	0        	0        
13 	53    	0          	0         	0        	0        
14 	55    	0          	0         	0        	0        
15 	53    	0          	0         	0        	0        
16 	53    	0          	0         	0        	0        
17 	55    	0          	0         	0        	0        
18 	58    	0.000854496	0.00656351	0        	0.0512697
19 	56    	0.00160913 	0.00868267	0        	0.0512697
20 	56    	0.00230436 	0.0101857 	0        	0.0557218
21 	54    	0.00832455 	0.0336269 	0        	0.24757  
22 	53    	0.0395047  	0.074123  	0        	0.318226 
23 	54    	0.0909209  	0.0952069 	0        	0.318226 
24 	54    	0.174789   	0.099919  	0        	0.318226 
25 	55    	0.243312   	0.0965466 	0        	0.318226 
26 	58    	0.261815   	0.107807  	0        	0.403647 
27 	58    	0.288172   	0.0979871 	0        	0.403647 
28 	53    	0.27202    	0.129786  	0        	0.407677 
29 	53    	0.297525   	0.147861  	0        	0.407677 
30 	56    	0.317114   	0.142557  	0        	0.411715 
31 	55    	0.280343   	0.171885  	0        	0.439779 
32 	58    	0.326886   	0.145356  	0        	0.505103 
33 	54    	0.310698   	0.183427  	0        	0.514353 
34 	55    	0.376869   	0.174967  	0        	0.51459  
35 	57    	0.347399   	0.218332  	0        	0.612852 
36 	53    	0.33506    	0.215997  	0        	0.612852 
37 	56    	0.381917   	0.19002   	0        	0.612852 
38 	55    	0.429785   	0.173544  	0        	0.612928 
39 	58    	0.404505   	0.234237  	0        	0.613329 
40 	57    	0.47414    	0.221985  	0        	0.613611 
41 	60    	0.456016   	0.234464  	0        	0.613721 
42 	57    	0.445015   	0.238637  	0        	0.613721 
43 	58    	0.440922   	0.249107  	0        	0.989885 
44 	54    	0.434719   	0.290774  	0        	0.989885 
45 	54    	0.487061   	0.350028  	0        	1.01241  
46 	56    	0.628172   	0.341363  	0        	1.01241  
47 	56    	0.594441   	0.387251  	0        	1.04029  
48 	54    	0.694707   	0.403343  	0        	1.09434  
49 	57    	0.753371   	0.395527  	0        	1.09434  
50 	56    	0.600247   	0.448606  	0        	1.09434  
51 	57    	0.691609   	0.463022  	0        	1.09434  
52 	53    	0.783909   	0.444422  	0        	1.16708  
53 	55    	0.763895   	0.454827  	0        	1.16938  
54 	50    	0.708668   	0.484948  	0        	1.16938  
55 	55    	0.790954   	0.47058   	0        	1.18248  
56 	51    	0.817875   	0.454623  	0        	1.1989   
57 	53    	0.926083   	0.442258  	0        	1.21309  
58 	54    	0.868942   	0.452634  	0        	1.1989   
59 	52    	0.996576   	0.392872  	0        	1.19906  
60 	49    	0.99948    	0.413948  	0        	1.19906  
61 	50    	1.0161     	0.391187  	0.121537 	1.19906  
62 	59    	1.09006    	0.306831  	0        	1.21256  
63 	53    	1.14632    	0.227858  	0.143574 	1.2491   
64 	53    	1.01745    	0.419335  	0        	1.26022  
65 	54    	1.03356    	0.416435  	0        	1.26022  
66 	54    	1.10329    	0.350629  	0.119461 	1.26022  
67 	56    	1.1355     	0.332208  	0        	1.28081  
68 	56    	1.09029    	0.406963  	0        	1.29354  
69 	53    	1.13778    	0.376194  	0        	1.31681  
70 	55    	1.1755     	0.329678  	0        	1.31681  
71 	56    	1.10443    	0.399829  	0        	1.31681  
72 	55    	1.01417    	0.49711   	0        	1.33309  
73 	54    	0.884153   	0.558087  	0        	1.35329  
74 	55    	0.88045    	0.53697   	0        	1.35329  
75 	55    	0.873373   	0.550783  	0        	1.3685   
76 	57    	0.758909   	0.597578  	0        	1.3685   
77 	58    	0.77497    	0.622655  	0        	1.3685   
78 	53    	1.0454     	0.508141  	0        	1.3685   
79 	50    	1.17338    	0.43273   	0        	1.3725   
80 	53    	1.11579    	0.50575   	0        	1.3725   
81 	52    	1.17135    	0.443775  	0        	1.3725   
82 	56    	1.15455    	0.466714  	0        	1.38274  
83 	57    	1.21494    	0.397621  	0        	1.39033  
84 	54    	1.15524    	0.472484  	0        	1.39033  
85 	57    	1.20935    	0.400441  	0        	1.39033  
86 	56    	1.30565    	0.29928   	0        	1.39269  
87 	58    	1.32414    	0.278809  	0.06107  	1.41393  
88 	55    	1.21543    	0.432745  	0        	1.41393  
89 	53    	1.32323    	0.289806  	0        	1.4236   
90 	59    	1.22295    	0.446658  	0        	1.4236   
91 	57    	1.28416    	0.38534   	0        	1.42876  
92 	56    	1.19457    	0.464293  	0        	1.43516  
93 	54    	1.21396    	0.482402  	0        	1.43516  
94 	55    	1.24074    	0.448995  	0        	1.43516  
95 	55    	1.28039    	0.405132  	0        	1.43516  
96 	57    	1.34768    	0.316057  	0.163074 	1.43516  
97 	55    	1.25786    	0.451927  	0        	1.43516  
98 	55    	1.31564    	0.370771  	0        	1.43516  
99 	54    	1.32987    	0.349529  	0.116738 	1.43516  
100	56    	1.28669    	0.413265  	0        	1.45071  
101	55    	1.16776    	0.524895  	0        	1.45071  
102	55    	1.3292     	0.371626  	0        	1.45071  
103	55    	1.27208    	0.448749  	0        	1.45837  
104	55    	1.19965    	0.502621  	0        	1.45837  
105	55    	1.29839    	0.424354  	0        	1.45837  
106	57    	1.34385    	0.351166  	0        	1.45837  
107	53    	1.3782     	0.314725  	0        	1.45837  
108	57    	1.43956    	0.144482  	0.329774 	1.45837  
109	55    	1.3717     	0.324317  	0.145535 	1.45837  
110	53    	1.3824     	0.297454  	0        	1.45837  
111	56    	1.24795    	0.480123  	0        	1.46312  
112	56    	1.30927    	0.423838  	0        	1.46312  
113	56    	1.21051    	0.499743  	0        	1.46894  
114	56    	1.22666    	0.4942    	0        	1.46894  
115	55    	1.29422    	0.44709   	0        	1.46894  
116	58    	1.40602    	0.264796  	0        	1.47105  
117	54    	1.36947    	0.342522  	0        	1.47105  
118	56    	1.32252    	0.413747  	0        	1.47105  
119	56    	1.41868    	0.215871  	0.0748201	1.47105  
120	55    	1.24207    	0.513149  	0        	1.47105  
121	58    	1.39938    	0.29907   	0        	1.47105  
122	56    	1.40653    	0.281204  	0.163409 	1.47105  
123	57    	1.34073    	0.391076  	0.116721 	1.47105  
124	56    	1.33008    	0.422829  	0        	1.47202  
125	56    	1.29833    	0.436822  	0        	1.4756   
126	56    	1.24873    	0.482734  	0        	1.47649  
127	53    	1.19016    	0.532808  	0        	1.47649  
128	53    	1.11461    	0.565227  	0        	1.48009  
129	56    	1.09559    	0.595184  	0        	1.48009  
130	55    	1.34417    	0.401518  	0.0981416	1.48009  
