gen	nevals	avg       	stddev   	min       	max      
0  	60    	0         	0        	0         	0        
1  	55    	0         	0        	0         	0        
2  	56    	0         	0        	0         	0        
3  	57    	0         	0        	0         	0        
4  	58    	0         	0        	0         	0        
5  	55    	0         	0        	0         	0        
6  	58    	0         	0        	0         	0        
7  	56    	0         	0        	0         	0        
8  	57    	-0.0160797	0.128175 	-1        	0.0352178
9  	57    	-0.0126653	0.129049 	-1        	0.0523886
10 	58    	0.00975661	0.0207874	0         	0.0811631
11 	55    	0.0256903 	0.0322191	0         	0.142161 
12 	54    	0.0544968 	0.0373916	0         	0.142161 
13 	50    	0.0727503 	0.04226  	0         	0.17673  
14 	55    	0.0942729 	0.0559063	0         	0.17673  
15 	52    	0.121962  	0.0461999	0.00357569	0.2119   
16 	53    	0.128524  	0.0646023	0         	0.2119   
17 	59    	0.136449  	0.0685777	0         	0.252998 
18 	57    	0.153316  	0.0791152	0         	0.252998 
19 	57    	0.174894  	0.0866532	0         	0.378053 
20 	55    	0.199257  	0.0772056	0         	0.378053 
21 	53    	0.216833  	0.097224 	0         	0.378053 
22 	55    	0.262312  	0.0976923	0         	0.431621 
23 	59    	0.285162  	0.112881 	0         	0.431621 
24 	58    	0.30328   	0.129044 	0         	0.431621 
25 	52    	0.328498  	0.117975 	0         	0.431621 
26 	55    	0.37506   	0.0907887	0.0172454 	0.431621 
27 	53    	0.360162  	0.119911 	0         	0.46553  
28 	58    	0.332434  	0.149741 	0         	0.46553  
29 	55    	0.377034  	0.118788 	0.0192101 	0.46553  
30 	55    	0.345624  	0.154695 	0         	0.46553  
31 	55    	0.349558  	0.159761 	0         	0.499797 
32 	55    	0.363281  	0.160558 	0         	0.512463 
33 	57    	0.366072  	0.227392 	-1        	0.519174 
34 	57    	0.371543  	0.17378  	0         	0.547384 
35 	54    	0.396268  	0.171865 	0         	0.547384 
36 	53    	0.451375  	0.138466 	0         	0.547384 
37 	53    	0.462117  	0.139133 	0         	0.581564 
38 	54    	0.421486  	0.206492 	0         	0.581564 
39 	56    	0.422415  	0.192995 	0         	0.581564 
40 	56    	0.445719  	0.18301  	0         	0.595042 
41 	54    	0.494047  	0.146977 	0         	0.636131 
42 	56    	0.405909  	0.222285 	0         	0.636132 
43 	51    	0.43123   	0.218669 	0         	0.636132 
44 	55    	0.468325  	0.273503 	-1        	0.663054 
45 	53    	0.553799  	0.169493 	0         	0.663054 
46 	58    	0.50501   	0.22947  	0         	0.663054 
47 	57    	0.500132  	0.229503 	0         	0.663054 
48 	53    	0.484619  	0.210231 	0         	0.663054 
49 	53    	0.512033  	0.223887 	0         	0.685345 
50 	50    	0.566246  	0.199962 	0         	0.685346 
51 	54    	0.544269  	0.198979 	0.0471983 	0.685346 
52 	49    	0.517624  	0.239929 	0         	0.685346 
53 	57    	0.506733  	0.242136 	0         	0.694742 
54 	56    	0.573304  	0.193925 	0.130264  	0.694741 
55 	55    	0.56884   	0.276647 	-1        	0.733867 
56 	56    	0.49819   	0.244936 	0         	0.733867 
57 	54    	0.566154  	0.220449 	0         	0.733867 
58 	55    	0.47744   	0.262051 	0         	0.817657 
59 	55    	0.50664   	0.256541 	0         	0.817657 
60 	56    	0.526047  	0.276747 	0         	0.818533 
61 	54    	0.609766  	0.263924 	0         	0.818533 
62 	56    	0.590511  	0.295429 	0         	0.818533 
63 	57    	0.54527   	0.321192 	0         	0.818533 
64 	57    	0.593979  	0.28483  	0         	0.818533 
65 	57    	0.501931  	0.319032 	0         	0.826887 
66 	52    	0.600142  	0.296267 	0         	0.82825  
67 	55    	0.552856  	0.324634 	0         	0.82825  
68 	58    	0.529221  	0.365634 	-1        	0.82825  
69 	54    	0.578855  	0.303806 	0         	0.830205 
70 	54    	0.58671   	0.309164 	0         	0.830205 
71 	52    	0.593377  	0.410123 	-1        	0.830205 
72 	58    	0.500156  	0.321559 	0         	0.830205 
73 	58    	0.578896  	0.294673 	0         	0.830213 
74 	58    	0.522391  	0.433071 	-1        	0.830213 
75 	55    	0.608154  	0.458112 	-1        	0.843934 
76 	57    	0.646723  	0.3578   	-1        	0.909527 
77 	54    	0.767676  	0.185146 	0.145664  	0.909527 
78 	56    	0.774633  	0.173808 	0.053248  	0.909527 
79 	55    	0.729051  	0.228408 	0.072079  	0.916605 
80 	53    	0.766202  	0.208549 	0         	0.919039 
81 	58    	0.792038  	0.186237 	0.270108  	0.920926 
82 	56    	0.808333  	0.188784 	0.0415356 	0.920926 
83 	56    	0.827894  	0.185564 	0.00511688	0.921018 
84 	51    	0.847663  	0.184218 	0         	0.921317 
85 	57    	0.753975  	0.33716  	-1        	0.926936 
86 	55    	0.740859  	0.268176 	0         	0.927455 
87 	54    	0.754121  	0.258838 	0         	0.927455 
88 	56    	0.712147  	0.270227 	0.022593  	0.927455 
89 	54    	0.778122  	0.24439  	0.160875  	0.926981 
90 	55    	0.79109   	0.246663 	0.0667353 	0.926985 
91 	55    	0.703245  	0.290201 	0         	0.927102 
92 	58    	0.690238  	0.294602 	0.00484425	0.927102 
93 	57    	0.72876   	0.264217 	0.0921386 	0.927083 
94 	57    	0.741972  	0.265878 	0.0758748 	0.927083 
95 	54    	0.70598   	0.271993 	0.187478  	0.927    
96 	53    	0.667733  	0.292361 	0.161005  	0.927    
97 	54    	0.705669  	0.293375 	0         	0.92703  
98 	56    	0.768038  	0.286824 	0         	0.92754  
99 	58    	0.680591  	0.365938 	-1        	0.92703  
100	57    	0.719256  	0.273265 	0.00991076	0.92703  
101	56    	0.735565  	0.268868 	0.246249  	0.92703  
102	56    	0.746156  	0.265184 	0.120785  	0.92703  
103	53    	0.703082  	0.295847 	0.0458262 	0.92703  
104	55    	0.690827  	0.291006 	0         	0.92703  
105	56    	0.705389  	0.280415 	0.014968  	0.92703  
106	54    	0.77372   	0.250425 	0         	0.927992 
107	57    	0.729061  	0.273311 	0         	0.92799  
108	56    	0.733171  	0.267167 	0.0458262 	0.92703  
109	57    	0.620169  	0.308399 	0.0128171 	0.981247 
110	54    	0.704221  	0.358836 	-1        	0.92703  
111	56    	0.762744  	0.236606 	0.288445  	0.927089 
112	55    	0.727396  	0.280977 	0.0536453 	0.927139 
113	56    	0.628831  	0.30789  	0         	0.927139 
114	56    	0.658826  	0.368353 	-1        	0.981256 
115	52    	0.756781  	0.270211 	0.00423863	0.981256 
116	53    	0.754447  	0.274806 	0.0434976 	0.981256 
117	52    	0.679793  	0.325143 	0         	0.981256 
118	54    	0.728721  	0.277461 	0         	0.981256 
119	56    	0.715703  	0.301232 	0.0297342 	0.981256 
120	52    	0.784824  	0.269261 	0         	0.981854 
121	57    	0.817063  	0.25435  	0.147227  	0.981858 
122	55    	0.769521  	0.299533 	0.0458267 	0.981858 
123	55    	0.837873  	0.265238 	0         	0.982719 
124	58    	0.774694  	0.297071 	0         	0.982719 
125	57    	0.741514  	0.298762 	0.0520437 	0.982072 
126	57    	0.799756  	0.281639 	0.0669729 	0.982072 
127	55    	0.726019  	0.310354 	0         	0.981868 
128	53    	0.692824  	0.316215 	0.0458232 	0.981868 
129	54    	0.770384  	0.288654 	0.0338487 	0.981875 
130	57    	0.747135  	0.30174  	0.0458267 	0.981875 
