gen	nevals	avg       	stddev    	min      	max      
0  	60    	0         	0         	0        	0        
1  	58    	0         	0         	0        	0        
2  	54    	0         	0         	0        	0        
3  	59    	0         	0         	0        	0        
4  	57    	0         	0         	0        	0        
5  	55    	0         	0         	0        	0        
6  	56    	0         	0         	0        	0        
7  	55    	0         	0         	0        	0        
8  	59    	0         	0         	0        	0        
9  	54    	0         	0         	0        	0        
10 	59    	0         	0         	0        	0        
11 	57    	0         	0         	0        	0        
12 	56    	0         	0         	0        	0        
13 	54    	0         	0         	0        	0        
14 	54    	0         	0         	0        	0        
15 	51    	0         	0         	0        	0        
16 	52    	0         	0         	0        	0        
17 	59    	0         	0         	0        	0        
18 	52    	0         	0         	0        	0        
19 	54    	0         	0         	0        	0        
20 	52    	0         	0         	0        	0        
21 	58    	0.00143314	0.00884949	0        	0.0667116
22 	56    	0.00654918	0.0181745 	0        	0.0667116
23 	57    	0.0159074 	0.0250071 	0        	0.0917058
24 	59    	0.0343924 	0.0373333 	0        	0.188594 
25 	56    	0.0593693 	0.0396273 	0        	0.188818 
26 	57    	0.0741536 	0.0515759 	0        	0.188827 
27 	53    	0.105865  	0.063477  	0        	0.237945 
28 	56    	0.127516  	0.076482  	0        	0.240196 
29 	53    	0.159785  	0.0887888 	0        	0.244262 
30 	56    	0.163988  	0.0963209 	0        	0.240258 
31 	54    	0.151981  	0.106064  	0        	0.240662 
32 	56    	0.175724  	0.0921025 	0        	0.244264 
33 	56    	0.17859   	0.0986784 	0        	0.287995 
34 	54    	0.172473  	0.105453  	0        	0.287995 
35 	59    	0.197329  	0.100956  	0        	0.318454 
36 	54    	0.196715  	0.114404  	0        	0.346357 
37 	56    	0.237151  	0.107711  	0        	0.346357 
38 	54    	0.249058  	0.118681  	0        	0.383073 
39 	58    	0.258633  	0.12465   	0        	0.383074 
40 	55    	0.276824  	0.119841  	0        	0.383078 
41 	56    	0.301057  	0.107227  	0        	0.408822 
42 	55    	0.316368  	0.120628  	0        	0.408822 
43 	57    	0.301588  	0.121554  	0        	0.408864 
44 	57    	0.312144  	0.124266  	0        	0.408861 
45 	58    	0.308663  	0.149618  	0        	0.408865 
46 	56    	0.373893  	0.0902224 	0        	0.408908 
47 	57    	0.383652  	0.0865835 	0        	0.408908 
48 	53    	0.376612  	0.105884  	0        	0.685399 
49 	55    	0.408837  	0.0826801 	0.118491 	0.68545  
50 	55    	0.402834  	0.221146  	-1       	0.763924 
51 	55    	0.411217  	0.173899  	0.0233309	0.775511 
52 	52    	0.427293  	0.214861  	0        	0.781486 
53 	54    	0.461895  	0.204583  	0        	0.786129 
54 	60    	0.475727  	0.217438  	0        	0.775511 
55 	55    	0.533173  	0.217035  	0.0107418	0.7816   
56 	54    	0.510099  	0.259875  	0        	0.782573 
